,Date,Close
0,2024-02-06,189.3
1,2024-02-07,189.41
2,2024-02-08,188.32
3,2024-02-09,188.85
4,2024-02-12,187.15
5,2024-02-13,185.04
6,2024-02-14,184.15
7,2024-02-15,183.86
8,2024-02-16,182.31
9,2024-02-20,181.56
10,2024-02-21,182.32
11,2024-02-22,184.37
12,2024-02-23,182.52
13,2024-02-26,181.16
14,2024-02-27,182.63
15,2024-02-28,181.42
16,2024-02-29,180.75
17,2024-03-01,179.66
18,2024-03-04,175.1
19,2024-03-05,170.12
20,2024-03-06,169.12
21,2024-03-07,169.0
22,2024-03-08,170.73
23,2024-03-11,172.75
24,2024-03-12,173.23
25,2024-03-13,171.13
26,2024-03-14,173.0
27,2024-03-15,172.62
28,2024-03-18,173.72
29,2024-03-19,176.08
30,2024-03-20,178.67
31,2024-03-21,171.37
32,2024-03-22,172.28
33,2024-03-25,170.85
34,2024-03-26,169.71
35,2024-03-27,173.31
36,2024-03-28,171.48
37,2024-04-01,170.03
38,2024-04-02,168.84
39,2024-04-03,169.65
40,2024-04-04,168.82
41,2024-04-05,169.58
42,2024-04-08,168.45
43,2024-04-09,169.67
44,2024-04-10,167.78
45,2024-04-11,175.04
46,2024-04-12,176.55
47,2024-04-15,172.69
48,2024-04-16,169.38
49,2024-04-17,168.0
50,2024-04-18,167.04
51,2024-04-19,165.0
52,2024-04-22,165.84
53,2024-04-23,166.9
54,2024-04-24,169.02
55,2024-04-25,169.89
56,2024-04-26,169.3
57,2024-04-29,173.5
58,2024-04-30,170.33
59,2024-05-01,169.3
60,2024-05-02,173.03
61,2024-05-03,183.38
62,2024-05-06,181.71
63,2024-05-07,182.4
64,2024-05-08,182.74
65,2024-05-09,184.57
66,2024-05-10,183.05
67,2024-05-13,186.28
68,2024-05-14,187.43
69,2024-05-15,189.72
70,2024-05-16,189.84
71,2024-05-17,189.87
72,2024-05-20,191.04
73,2024-05-21,192.35
74,2024-05-22,190.9
75,2024-05-23,186.88
76,2024-05-24,189.98
77,2024-05-28,189.99
78,2024-05-29,190.29
79,2024-05-30,191.29
80,2024-05-31,192.25
81,2024-06-03,194.03
82,2024-06-04,194.35
83,2024-06-05,195.87
84,2024-06-06,194.48
85,2024-06-07,196.89
86,2024-06-10,193.12
87,2024-06-11,207.15
88,2024-06-12,213.07
89,2024-06-13,214.24
90,2024-06-14,212.49
91,2024-06-17,216.67
92,2024-06-18,214.29
93,2024-06-20,209.68
94,2024-06-21,207.49
95,2024-06-24,208.14
96,2024-06-25,209.07
97,2024-06-26,213.25
98,2024-06-27,214.1
99,2024-06-28,210.62
100,2024-07-01,216.75
101,2024-07-02,220.27
102,2024-07-03,221.55
103,2024-07-05,226.34
104,2024-07-08,227.82
105,2024-07-09,228.68
106,2024-07-10,232.98
107,2024-07-11,227.57
108,2024-07-12,230.54
109,2024-07-15,234.4
110,2024-07-16,234.82
111,2024-07-17,228.88
112,2024-07-18,224.18
