Price,Date,Close
Ticker,,AAPL
0,2024-01-02,184.29042053222656
1,2024-01-03,182.9105224609375
2,2024-01-04,180.58753967285156
3,2024-01-05,179.86282348632812
4,2024-01-08,184.21099853515625
5,2024-01-09,183.79405212402344
6,2024-01-10,184.83642578125
7,2024-01-11,184.24078369140625
8,2024-01-12,184.56837463378906
9,2024-01-16,182.29502868652344
10,2024-01-17,181.35191345214844
11,2024-01-18,187.25868225097656
12,2024-01-19,190.16737365722656
13,2024-01-22,192.48043823242188
14,2024-01-23,193.7610626220703
15,2024-01-24,193.08599853515625
16,2024-01-25,192.7584228515625
17,2024-01-26,191.02113342285156
18,2024-01-29,190.33615112304688
19,2024-01-30,186.67295837402344
20,2024-01-31,183.05943298339844
