,Date,Close
0,2024-02-06,188.171
1,2024-02-07,188.281
2,2024-02-08,187.196
3,2024-02-09,187.962
4,2024-02-12,186.271
5,2024-02-13,184.17
6,2024-02-14,183.284
7,2024-02-15,182.996
8,2024-02-16,181.453
9,2024-02-20,180.706
10,2024-02-21,181.463
11,2024-02-22,183.503
12,2024-02-23,181.662
13,2024-02-26,180.309
14,2024-02-27,181.772
15,2024-02-28,180.567
16,2024-02-29,179.9
17,2024-03-01,178.816
18,2024-03-04,174.277
19,2024-03-05,169.322
20,2024-03-06,168.326
21,2024-03-07,168.206
22,2024-03-08,169.928
23,2024-03-11,171.939
24,2024-03-12,172.415
25,2024-03-13,170.325
26,2024-03-14,172.187
27,2024-03-15,171.809
28,2024-03-18,172.904
29,2024-03-19,175.252
30,2024-03-20,177.83
31,2024-03-21,170.564
32,2024-03-22,171.47
33,2024-03-25,170.048
34,2024-03-26,168.912
35,2024-03-27,172.495
36,2024-03-28,170.674
37,2024-04-01,169.232
38,2024-04-02,168.046
39,2024-04-03,168.852
40,2024-04-04,168.026
41,2024-04-05,168.782
42,2024-04-08,167.659
43,2024-04-09,168.872
44,2024-04-10,166.991
45,2024-04-11,174.217
46,2024-04-12,175.72
47,2024-04-15,171.879
48,2024-04-16,168.584
49,2024-04-17,167.21
50,2024-04-18,166.255
51,2024-04-19,164.156
52,2024-04-22,165.061
53,2024-04-23,166.115
54,2024-04-24,168.226
55,2024-04-25,169.092
56,2024-04-26,168.505
57,2024-04-29,172.685
58,2024-04-30,169.529
59,2024-05-01,168.505
60,2024-05-02,172.217
61,2024-05-03,182.518
62,2024-05-06,180.856
63,2024-05-07,181.542
64,2024-05-08,181.881
65,2024-05-09,183.703
66,2024-05-10,182.436
67,2024-05-13,185.657
68,2024-05-14,186.802
69,2024-05-15,189.085
70,2024-05-16,189.205
71,2024-05-17,189.234
72,2024-05-20,190.4
73,2024-05-21,191.706
74,2024-05-22,190.26
75,2024-05-23,186.254
76,2024-05-24,189.343
77,2024-05-28,189.353
78,2024-05-29,189.652
79,2024-05-30,190.649
80,2024-05-31,191.606
81,2024-06-03,193.38
82,2024-06-04,193.699
83,2024-06-05,195.214
84,2024-06-06,193.829
85,2024-06-07,196.23
86,2024-06-10,192.473
87,2024-06-11,206.457
88,2024-06-12,212.357
89,2024-06-13,213.522
90,2024-06-14,211.778
91,2024-06-17,215.945
92,2024-06-18,213.572
93,2024-06-20,208.978
94,2024-06-21,206.795
95,2024-06-24,207.443
96,2024-06-25,208.369
97,2024-06-26,212.535
98,2024-06-27,213.382
99,2024-06-28,209.914
100,2024-07-01,216.023
101,2024-07-02,219.532
102,2024-07-03,220.808
103,2024-07-05,225.582
104,2024-07-08,227.057
105,2024-07-09,227.914
106,2024-07-10,232.2
107,2024-07-11,226.808
108,2024-07-12,229.767
109,2024-07-15,233.615
110,2024-07-16,234.034
111,2024-07-17,228.113
112,2024-07-18,223.429
