Price,Date,Close
Ticker,,AAPL
0,2024-01-02,184.29043579101562
1,2024-01-03,182.9105224609375
2,2024-01-04,180.5875244140625
3,2024-01-05,179.8628387451172
4,2024-01-08,184.21099853515625
5,2024-01-09,183.79405212402344
6,2024-01-10,184.83641052246094
7,2024-01-11,184.2407684326172
8,2024-01-12,184.56838989257812
9,2024-01-16,182.29501342773438
10,2024-01-17,181.3519287109375
11,2024-01-18,187.25868225097656
12,2024-01-19,190.16738891601562
13,2024-01-22,192.48045349121094
14,2024-01-23,193.7610626220703
15,2024-01-24,193.0860137939453
16,2024-01-25,192.75839233398438
17,2024-01-26,191.0211181640625
18,2024-01-29,190.33616638183594
19,2024-01-30,186.67295837402344
20,2024-01-31,183.05943298339844
21,2024-02-01,185.50155639648438
22,2024-02-02,184.4989013671875
23,2024-02-05,186.31556701660156
24,2024-02-06,187.923828125
25,2024-02-07,188.03302001953125
26,2024-02-08,186.95094299316406
27,2024-02-09,187.71632385253906
28,2024-02-12,186.02650451660156
29,2024-02-13,183.92918395996094
30,2024-02-14,183.04452514648438
31,2024-02-15,182.75628662109375
32,2024-02-16,181.21556091308594
33,2024-02-20,180.47006225585938
34,2024-02-21,181.2255096435547
35,2024-02-22,183.26318359375
36,2024-02-23,181.42431640625
37,2024-02-26,180.07247924804688
38,2024-02-27,181.53366088867188
39,2024-02-28,180.33091735839844
40,2024-02-29,179.66493225097656
41,2024-03-01,178.5814971923828
42,2024-03-04,174.04884338378906
43,2024-03-05,169.09877014160156
44,2024-03-06,168.104736328125
45,2024-03-07,167.9854736328125
46,2024-03-08,169.70509338378906
47,2024-03-11,171.7129669189453
48,2024-03-12,172.1900634765625
49,2024-03-13,170.10269165039062
50,2024-03-14,171.96145629882812
51,2024-03-15,171.583740234375
52,2024-03-18,172.67713928222656
53,2024-03-19,175.02297973632812
54,2024-03-20,177.597412109375
55,2024-03-21,170.34124755859375
56,2024-03-22,171.2457733154297
57,2024-03-25,169.82437133789062
58,2024-03-26,168.69122314453125
59,2024-03-27,172.26959228515625
60,2024-03-28,170.45057678222656
61,2024-04-01,169.00929260253906
62,2024-04-02,167.82643127441406
63,2024-04-03,168.63156127929688
64,2024-04-04,167.80657958984375
65,2024-04-05,168.56198120117188
66,2024-04-08,167.4387664794922
67,2024-04-09,168.6514434814453
68,2024-04-10,166.7727813720703
69,2024-04-11,173.98919677734375
70,2024-04-12,175.49014282226562
71,2024-04-15,171.6533203125
72,2024-04-16,168.3632049560547
73,2024-04-17,166.99148559570312
74,2024-04-18,166.0372314453125
75,2024-04-19,164.00949096679688
76,2024-04-22,164.8444366455078
77,2024-04-23,165.89808654785156
78,2024-04-24,168.00535583496094
79,2024-04-25,168.87013244628906
80,2024-04-26,168.28366088867188
81,2024-04-29,172.45846557617188
82,2024-04-30,169.30747985839844
83,2024-05-01,168.28366088867188
84,2024-05-02,171.9912872314453
85,2024-05-03,182.27914428710938
86,2024-05-06,180.61917114257812
87,2024-05-07,181.30503845214844
88,2024-05-08,181.6429901123047
89,2024-05-09,183.46202087402344
90,2024-05-10,182.1979217529297
91,2024-05-13,185.4128875732422
92,2024-05-14,186.55752563476562
93,2024-05-15,188.8368682861328
94,2024-05-16,188.95631408691406
95,2024-05-17,188.98617553710938
96,2024-05-20,190.1507110595703
97,2024-05-21,191.4546356201172
98,2024-05-22,190.01138305664062
99,2024-05-23,186.01010131835938
100,2024-05-24,189.0956573486328
101,2024-05-28,189.10562133789062
102,2024-05-29,189.40420532226562
103,2024-05-30,190.39956665039062
104,2024-05-31,191.3551025390625
105,2024-06-03,193.12681579589844
106,2024-06-04,193.44532775878906
107,2024-06-05,194.95823669433594
108,2024-06-06,193.57469177246094
109,2024-06-07,195.97349548339844
110,2024-06-10,192.2210235595703
111,2024-06-11,206.1857147216797
112,2024-06-12,212.0782012939453
113,2024-06-13,213.24273681640625
114,2024-06-14,211.50086975097656
115,2024-06-17,215.6614227294922
116,2024-06-18,213.29248046875
117,2024-06-20,208.70394897460938
118,2024-06-21,206.524169921875
119,2024-06-24,207.17112731933594
120,2024-06-25,208.0968017578125
121,2024-06-26,212.25733947753906
122,2024-06-27,213.10340881347656
123,2024-06-28,209.6395721435547
124,2024-07-01,215.7410430908203
125,2024-07-02,219.24465942382812
126,2024-07-03,220.51869201660156
127,2024-07-05,225.28640747070312
128,2024-07-08,226.759521484375
129,2024-07-09,227.61550903320312
130,2024-07-10,231.89549255371094
131,2024-07-11,226.5106964111328
132,2024-07-12,229.4668426513672
133,2024-07-15,233.3088836669922
134,2024-07-16,233.72694396972656
135,2024-07-17,227.8145751953125
136,2024-07-18,223.13645935058594
137,2024-07-19,223.26585388183594
138,2024-07-22,222.91749572753906
139,2024-07-23,223.9626007080078
140,2024-07-24,217.52268981933594
141,2024-07-25,216.4776153564453
142,2024-07-26,216.94541931152344
143,2024-07-29,217.22412109375
144,2024-07-30,217.78152465820312
145,2024-07-31,221.04623413085938
146,2024-08-01,217.34353637695312
147,2024-08-02,218.83657836914062
148,2024-08-05,208.29588317871094
149,2024-08-06,206.26535034179688
150,2024-08-07,208.8433074951172
151,2024-08-08,212.31704711914062
152,2024-08-09,215.2334442138672
153,2024-08-12,216.76803588867188
154,2024-08-13,220.4949493408203
155,2024-08-14,220.943359375
156,2024-08-15,223.93284606933594
157,2024-08-16,225.25819396972656
158,2024-08-19,225.09873962402344
159,2024-08-20,225.71658325195312
160,2024-08-21,225.60696411132812
161,2024-08-22,223.74349975585938
162,2024-08-23,226.04542541503906
163,2024-08-26,226.38421630859375
164,2024-08-27,227.23126220703125
165,2024-08-28,225.69664001464844
166,2024-08-29,228.98509216308594
167,2024-08-30,228.19786071777344
168,2024-09-03,221.98968505859375
169,2024-09-04,220.07640075683594
170,2024-09-05,221.60104370117188
171,2024-09-06,220.0465087890625
172,2024-09-09,220.13619995117188
173,2024-09-10,219.3389892578125
174,2024-09-11,221.88006591796875
175,2024-09-12,221.98968505859375
176,2024-09-13,221.72061157226562
177,2024-09-16,215.56227111816406
178,2024-09-17,216.03060913085938
179,2024-09-18,219.91696166992188
180,2024-09-19,228.0683135986328
181,2024-09-20,227.40065002441406
182,2024-09-23,225.6767120361328
183,2024-09-24,226.5735626220703
184,2024-09-25,225.5770721435547
185,2024-09-26,226.72303771972656
186,2024-09-27,226.99208068847656
187,2024-09-30,232.183837890625
188,2024-10-01,225.41761779785156
189,2024-10-02,225.98562622070312
190,2024-10-03,224.8795166015625
191,2024-10-04,226.0055694580078
192,2024-10-07,220.91348266601562
193,2024-10-08,224.9791717529297
194,2024-10-09,228.7359619140625
