Price,Date,Close
Ticker,,AAPL
0,2023-01-03,123.47059631347656
1,2023-01-04,124.74412536621094
2,2023-01-05,123.42125701904297
3,2023-01-06,127.9624252319336
4,2023-01-09,128.48565673828125
5,2023-01-10,129.0582275390625
6,2023-01-11,131.782958984375
7,2023-01-12,131.7039794921875
8,2023-01-13,133.03668212890625
9,2023-01-17,134.2016143798828
10,2023-01-18,133.48095703125
11,2023-01-19,133.54019165039062
12,2023-01-20,136.10691833496094
13,2023-01-23,139.30551147460938
14,2023-01-24,140.7073516845703
15,2023-01-25,140.04591369628906
16,2023-01-26,142.11904907226562
17,2023-01-27,144.06385803222656
18,2023-01-30,141.17132568359375
19,2023-01-31,142.44482421875
20,2023-02-01,143.57025146484375
21,2023-02-02,148.89134216308594
22,2023-02-03,152.5242462158203
23,2023-02-06,149.78968811035156
24,2023-02-07,152.67233276367188
25,2023-02-08,149.97723388671875
26,2023-02-09,148.9407196044922
27,2023-02-10,149.3065185546875
28,2023-02-13,152.114501953125
29,2023-02-14,151.47183227539062
30,2023-02-15,153.57777404785156
31,2023-02-16,151.97605895996094
32,2023-02-17,150.8291473388672
33,2023-02-21,146.8050537109375
34,2023-02-22,147.23020935058594
35,2023-02-23,147.71466064453125
36,2023-02-24,145.05503845214844
37,2023-02-27,146.25135803222656
38,2023-02-28,145.74713134765625
39,2023-03-01,143.6708221435547
40,2023-03-02,144.26406860351562
41,2023-03-03,149.3262939453125
42,2023-03-06,152.09471130371094
43,2023-03-07,149.88987731933594
44,2023-03-08,151.14552307128906
45,2023-03-09,148.89125061035156
46,2023-03-10,146.82481384277344
47,2023-03-13,148.77261352539062
48,2023-03-14,150.8686981201172
49,2023-03-15,151.26419067382812
50,2023-03-16,154.0919189453125
51,2023-03-17,153.25149536132812
52,2023-03-20,155.62440490722656
53,2023-03-21,157.4832305908203
54,2023-03-22,156.0496063232422
55,2023-03-23,157.1371612548828
56,2023-03-24,158.4422607421875
57,2023-03-27,156.4945068359375
58,2023-03-28,155.87159729003906
59,2023-03-29,158.9564208984375
60,2023-03-30,160.52850341796875
61,2023-03-31,163.03982543945312
62,2023-04-03,164.29550170898438
63,2023-04-04,163.7615966796875
64,2023-04-05,161.91268920898438
65,2023-04-06,162.80255126953125
66,2023-04-10,160.2021942138672
67,2023-04-11,158.986083984375
68,2023-04-12,158.2939910888672
69,2023-04-13,163.6923828125
70,2023-04-14,163.3463134765625
71,2023-04-17,163.36611938476562
72,2023-04-18,164.59210205078125
73,2023-04-19,165.73904418945312
74,2023-04-20,164.77005004882812
75,2023-04-21,163.15850830078125
76,2023-04-24,163.46498107910156
77,2023-04-25,161.92257690429688
78,2023-04-26,161.91268920898438
79,2023-04-27,166.51023864746094
80,2023-04-28,167.7659149169922
81,2023-05-01,167.6769256591797
82,2023-05-02,166.63876342773438
83,2023-05-03,165.56105041503906
84,2023-05-04,163.91976928710938
85,2023-05-05,171.6120147705078
86,2023-05-08,171.5428009033203
87,2023-05-09,169.8323516845703
88,2023-05-10,171.6021270751953
89,2023-05-11,171.7899932861328
90,2023-05-12,170.8593292236328
91,2023-05-15,170.36427307128906
92,2023-05-16,170.36427307128906
93,2023-05-17,170.97811889648438
94,2023-05-18,173.31472778320312
95,2023-05-19,173.42364501953125
96,2023-05-22,172.47315979003906
97,2023-05-23,169.8593292236328
98,2023-05-24,170.1365509033203
99,2023-05-25,171.27516174316406
100,2023-05-26,173.6909637451172
101,2023-05-30,175.54241943359375
102,2023-05-31,175.492919921875
103,2023-06-01,178.30474853515625
104,2023-06-02,179.15623474121094
105,2023-06-05,177.79983520507812
106,2023-06-06,177.43350219726562
107,2023-06-07,176.05728149414062
