,Date,Close
0,2023-01-03,125.07
1,2023-01-04,126.36
2,2023-01-05,125.02
3,2023-01-06,129.62
4,2023-01-09,130.15
5,2023-01-10,130.73
6,2023-01-11,133.49
7,2023-01-12,133.41
8,2023-01-13,134.76
9,2023-01-17,135.94
10,2023-01-18,135.21
11,2023-01-19,135.27
12,2023-01-20,137.87
13,2023-01-23,141.11
14,2023-01-24,142.53
15,2023-01-25,141.86
16,2023-01-26,143.96
17,2023-01-27,145.93
18,2023-01-30,143.0
19,2023-01-31,144.29
20,2023-02-01,145.43
21,2023-02-02,150.82
22,2023-02-03,154.5
23,2023-02-06,151.73
24,2023-02-07,154.65
25,2023-02-08,151.92
26,2023-02-09,150.87
27,2023-02-10,151.01
28,2023-02-13,153.85
29,2023-02-14,153.2
30,2023-02-15,155.33
31,2023-02-16,153.71
32,2023-02-17,152.55
33,2023-02-21,148.48
34,2023-02-22,148.91
35,2023-02-23,149.4
36,2023-02-24,146.71
37,2023-02-27,147.92
38,2023-02-28,147.41
39,2023-03-01,145.31
40,2023-03-02,145.91
41,2023-03-03,151.03
42,2023-03-06,153.83
43,2023-03-07,151.6
44,2023-03-08,152.87
45,2023-03-09,150.59
46,2023-03-10,148.5
47,2023-03-13,150.47
48,2023-03-14,152.59
49,2023-03-15,152.99
50,2023-03-16,155.85
51,2023-03-17,155.0
52,2023-03-20,157.4
53,2023-03-21,159.28
54,2023-03-22,157.83
55,2023-03-23,158.93
56,2023-03-24,160.25
57,2023-03-27,158.28
58,2023-03-28,157.65
59,2023-03-29,160.77
60,2023-03-30,162.36
61,2023-03-31,164.9
62,2023-04-03,166.17
63,2023-04-04,165.63
64,2023-04-05,163.76
65,2023-04-06,164.66
66,2023-04-10,162.03
67,2023-04-11,160.8
68,2023-04-12,160.1
69,2023-04-13,165.56
70,2023-04-14,165.21
71,2023-04-17,165.23
72,2023-04-18,166.47
73,2023-04-19,167.63
74,2023-04-20,166.65
75,2023-04-21,165.02
76,2023-04-24,165.33
77,2023-04-25,163.77
78,2023-04-26,163.76
79,2023-04-27,168.41
80,2023-04-28,169.68
81,2023-05-01,169.59
82,2023-05-02,168.54
83,2023-05-03,167.45
84,2023-05-04,165.79
85,2023-05-05,173.57
86,2023-05-08,173.5
87,2023-05-09,171.77
88,2023-05-10,173.555
89,2023-05-11,173.75
90,2023-05-12,172.57
91,2023-05-15,172.07
92,2023-05-16,172.07
93,2023-05-17,172.69
94,2023-05-18,175.05
95,2023-05-19,175.16
96,2023-05-22,174.2
97,2023-05-23,171.56
98,2023-05-24,171.84
99,2023-05-25,172.99
100,2023-05-26,175.43
101,2023-05-30,177.3
102,2023-05-31,177.25
103,2023-06-01,180.09
104,2023-06-02,180.95
105,2023-06-05,179.58
106,2023-06-06,179.21
107,2023-06-07,177.82
108,2023-06-08,180.57
