,Date,Close
0,2024-01-02,185.64
1,2024-01-03,184.25
2,2024-01-04,181.91
3,2024-01-05,181.18
4,2024-01-08,185.56
5,2024-01-09,185.14
6,2024-01-10,186.19
7,2024-01-11,185.59
8,2024-01-12,185.92
9,2024-01-16,183.63
10,2024-01-17,182.68
11,2024-01-18,188.63
12,2024-01-19,191.56
13,2024-01-22,193.89
14,2024-01-23,195.18
15,2024-01-24,194.5
16,2024-01-25,194.17
17,2024-01-26,192.42
18,2024-01-29,191.73
19,2024-01-30,188.04
20,2024-01-31,184.4
21,2024-02-01,186.86
22,2024-02-02,185.85
23,2024-02-05,187.68
24,2024-02-06,189.3
25,2024-02-07,189.41
26,2024-02-08,188.32
27,2024-02-09,188.85
28,2024-02-12,187.15
29,2024-02-13,185.04
30,2024-02-14,184.15
31,2024-02-15,183.86
32,2024-02-16,182.31
33,2024-02-20,181.56
34,2024-02-21,182.32
35,2024-02-22,184.37
36,2024-02-23,182.52
37,2024-02-26,181.16
38,2024-02-27,182.63
39,2024-02-28,181.42
40,2024-02-29,180.75
41,2024-03-01,179.66
42,2024-03-04,175.1
43,2024-03-05,170.12
44,2024-03-06,169.12
45,2024-03-07,169.0
46,2024-03-08,170.73
47,2024-03-11,172.75
48,2024-03-12,173.23
49,2024-03-13,171.13
50,2024-03-14,173.0
51,2024-03-15,172.62
52,2024-03-18,173.72
53,2024-03-19,176.08
54,2024-03-20,178.67
55,2024-03-21,171.37
56,2024-03-22,172.28
57,2024-03-25,170.85
58,2024-03-26,169.71
59,2024-03-27,173.31
60,2024-03-28,171.48
61,2024-04-01,170.03
62,2024-04-02,168.84
63,2024-04-03,169.65
64,2024-04-04,168.82
65,2024-04-05,169.58
66,2024-04-08,168.45
67,2024-04-09,169.67
68,2024-04-10,167.78
69,2024-04-11,175.04
70,2024-04-12,176.55
71,2024-04-15,172.69
72,2024-04-16,169.38
73,2024-04-17,168.0
74,2024-04-18,167.04
75,2024-04-19,165.0
76,2024-04-22,165.84
77,2024-04-23,166.9
78,2024-04-24,169.02
79,2024-04-25,169.89
80,2024-04-26,169.3
81,2024-04-29,173.5
82,2024-04-30,170.33
83,2024-05-01,169.3
84,2024-05-02,173.03
85,2024-05-03,183.38
86,2024-05-06,181.71
87,2024-05-07,182.4
88,2024-05-08,182.74
89,2024-05-09,184.57
90,2024-05-10,183.05
91,2024-05-13,186.28
92,2024-05-14,187.43
93,2024-05-15,189.72
94,2024-05-16,189.84
95,2024-05-17,189.87
96,2024-05-20,191.04
97,2024-05-21,192.35
98,2024-05-22,190.9
99,2024-05-23,186.88
100,2024-05-24,189.98
101,2024-05-28,189.99
102,2024-05-29,190.29
103,2024-05-30,191.29
104,2024-05-31,192.25
105,2024-06-03,194.03
106,2024-06-04,194.35
107,2024-06-05,195.87
108,2024-06-06,194.48
109,2024-06-07,196.89
110,2024-06-10,193.12
111,2024-06-11,207.15
112,2024-06-12,213.07
113,2024-06-13,214.24
114,2024-06-14,212.49
115,2024-06-17,216.67
116,2024-06-18,214.29
117,2024-06-20,209.68
118,2024-06-21,207.49
119,2024-06-24,208.14
120,2024-06-25,209.07
121,2024-06-26,213.25
122,2024-06-27,214.1
123,2024-06-28,210.62
124,2024-07-01,216.75
125,2024-07-02,220.27
126,2024-07-03,221.55
127,2024-07-05,226.34
128,2024-07-08,227.82
129,2024-07-09,228.68
130,2024-07-10,232.98
131,2024-07-11,227.57
132,2024-07-12,230.54
133,2024-07-15,234.4
134,2024-07-16,234.82
135,2024-07-17,228.88
136,2024-07-18,224.18
137,2024-07-19,224.31
138,2024-07-22,223.96
139,2024-07-23,225.01
140,2024-07-24,218.54
141,2024-07-25,217.49
142,2024-07-26,217.96
143,2024-07-29,218.24
144,2024-07-30,218.8
145,2024-07-31,222.08
146,2024-08-01,218.36
147,2024-08-02,219.86
148,2024-08-05,209.27
149,2024-08-06,207.23
150,2024-08-07,209.82
151,2024-08-08,213.31
152,2024-08-09,216.24
153,2024-08-12,217.53
154,2024-08-13,221.27
155,2024-08-14,221.72
156,2024-08-15,224.72
157,2024-08-16,226.05
158,2024-08-19,225.89
159,2024-08-20,226.51
160,2024-08-21,226.4
161,2024-08-22,224.53
162,2024-08-23,226.84
163,2024-08-26,227.18
164,2024-08-27,228.03
165,2024-08-28,226.49
166,2024-08-29,229.79
167,2024-08-30,229.0
168,2024-09-03,222.77
169,2024-09-04,220.85
170,2024-09-05,222.38
171,2024-09-06,220.82
172,2024-09-09,220.91
173,2024-09-10,220.11
174,2024-09-11,222.66
175,2024-09-12,222.77
176,2024-09-13,222.5
177,2024-09-16,216.32
178,2024-09-17,216.79
179,2024-09-18,220.69
180,2024-09-19,228.87
181,2024-09-20,228.2
182,2024-09-23,226.47
183,2024-09-24,227.37
184,2024-09-25,226.37
185,2024-09-26,227.52
186,2024-09-27,227.79
187,2024-09-30,233.0
188,2024-10-01,226.21
189,2024-10-02,226.78
190,2024-10-03,225.67
191,2024-10-04,226.8
192,2024-10-07,221.69
193,2024-10-08,225.77
194,2024-10-09,229.54
195,2024-10-10,229.04
196,2024-10-11,227.55
197,2024-10-14,231.3
198,2024-10-15,233.85
199,2024-10-16,231.78
200,2024-10-17,232.15
201,2024-10-18,235.0
202,2024-10-21,236.48
203,2024-10-22,235.86
204,2024-10-23,230.76
205,2024-10-24,230.57
206,2024-10-25,231.41
207,2024-10-28,233.4
208,2024-10-29,233.67
209,2024-10-30,230.1
210,2024-10-31,225.91
211,2024-11-01,222.91
212,2024-11-04,222.01
213,2024-11-05,223.45
214,2024-11-06,222.72
215,2024-11-07,227.48
216,2024-11-08,226.96
217,2024-11-11,224.23
218,2024-11-12,224.23
219,2024-11-13,225.12
